date,year,quarter,action,ticker,market,shares,price_local,currency,eur_usd_rate,amount_eur,return_pct
2022-01-31,2022,Q1 2022,SELL,GSAT,US,106.2406,16.05,USD,1.1233,1517.99,-9.86
2022-01-31,2022,Q1 2022,SELL,MP,US,58.7753,39.94,USD,1.1233,2089.81,12.19
2022-01-31,2022,Q1 2022,SELL,SAB,IBEX,2993.8686,0.6874,EUR,,2057.99,-1.29
2022-01-31,2022,Q1 2022,SELL,BBVA,IBEX,207.2488,5.634,EUR,,1167.64,-7.06
2022-01-31,2022,Q1 2022,BUY,CYTK,US,59.632,33.19,USD,1.1233,1761.94,
2022-01-31,2022,Q1 2022,BUY,NVDA,US,80.8161,24.49,USD,1.1233,1761.94,
2022-01-31,2022,Q1 2022,BUY,ROVI,IBEX,24.8686,65.4,EUR,,1626.41,
2022-01-31,2022,Q1 2022,BUY,FDR,IBEX,57.8792,28.1,EUR,,1626.41,
2022-04-30,2022,Q2 2022,SELL,HUT,US,74.271,17.8,USD,1.0541,1254.17,-25.53
2022-04-30,2022,Q2 2022,SELL,CYTK,US,59.632,39.87,USD,1.0541,2255.51,28.01
2022-04-30,2022,Q2 2022,SELL,FDR,IBEX,57.8792,26.12,EUR,,1511.8,-7.05
2022-04-30,2022,Q2 2022,BUY,COP,US,17.3915,95.52,USD,1.0541,1575.97,
2022-04-30,2022,Q2 2022,BUY,MP,US,43.6707,38.04,USD,1.0541,1575.97,
2022-04-30,2022,Q2 2022,BUY,SAB,IBEX,1955.304,0.744,EUR,,1454.75,
2022-07-31,2022,Q3 2022,SELL,SITM,US,9.8579,185.98,USD,1.0218,1794.25,-20.56
2022-07-31,2022,Q3 2022,SELL,NVDA,US,80.8161,18.16,USD,1.0218,1436.31,-18.48
2022-07-31,2022,Q3 2022,SELL,ROVI,IBEX,24.8686,51.0,EUR,,1268.3,-22.02
2022-07-31,2022,Q3 2022,SELL,MP,US,43.6707,33.57,USD,1.0218,1434.75,-8.96
2022-07-31,2022,Q3 2022,SELL,SAB,IBEX,1955.304,0.6246,EUR,,1221.28,-16.05
2022-07-31,2022,Q3 2022,BUY,EOG,US,14.5152,106.21,USD,1.0218,1508.77,
2022-07-31,2022,Q3 2022,BUY,XOM,US,15.9049,96.93,USD,1.0218,1508.77,
2022-07-31,2022,Q3 2022,BUY,CVX,US,9.413,163.78,USD,1.0218,1508.77,
2022-07-31,2022,Q3 2022,BUY,REP,IBEX,114.8625,12.125,EUR,,1392.71,
2022-07-31,2022,Q3 2022,BUY,ANA,IBEX,6.9427,200.6,EUR,,1392.71,
2022-10-31,2022,Q4 2022,SELL,EOG,US,14.5152,131.99,USD,0.9883,1938.54,28.49
2022-10-31,2022,Q4 2022,SELL,CVX,US,9.413,180.9,USD,0.9883,1722.97,14.2
2022-10-31,2022,Q4 2022,SELL,REP,IBEX,114.8625,13.745,EUR,,1578.79,13.36
2022-10-31,2022,Q4 2022,SELL,ANA,IBEX,6.9427,182.1,EUR,,1264.27,-9.22
2022-10-31,2022,Q4 2022,BUY,CYTK,US,39.8054,43.66,USD,0.9883,1758.48,
